Tag,Species,Clade,Mass (kg),Id,dn/ds,dn,ds,Eu,Eudn,Euds,La,Ladn,Lads,Met,Metdn,Metds
XP+AF8-021058,Mus pahari,Euarchontoglires,,99.874997,0.0233990148,0.0019,0.0812,0.0233990148,0.0019,0.0812,0.056741573,0.0202,0.356,,,
XP+AF8-012504,Propithecus coquereli,Euarchontoglires,4.2,96.125001,0.0478032606,0.0173,0.3619,0.0478032606,0.0173,0.3619,0.0719934551,0.0264,0.3667,,,
XP+AF8-004091,Nomascus leucogenys,Euarchontoglires,5.7,96.249998,0.0570215347,0.0188,0.3297,0.0570215347,0.0188,0.3297,0.0782241015,0.0296,0.3784,,,
XP+AF8-024087,Pongo abelii,Euarchontoglires,60,95.875001,0.0553023397,0.0182,0.3291,0.0553023397,0.0182,0.3291,0.044312348,0.0164,0.3701,,,
NP+AF8-000248,Homo sapiens,Euarchontoglires,68,95.999998,0.0557913887,0.0184,0.3298,0.0557913887,0.0184,0.3298,0.0547534732,0.0201,0.3671,,,
XP+AF8-018865,Gorilla gorilla gorilla,Euarchontoglires,140,95.999998,0.0537540169,0.0184,0.3423,0.0537540169,0.0184,0.3423,0.056385678,0.02,0.3547,,,
XP+AF8-003808,Pan paniscus,Euarchontoglires,44,96.249998,0.0531914894,0.0175,0.329,0.0531914894,0.0175,0.329,0.0548712206,0.0196,0.3572,,,
XP+AF8-016781,Pan troglodytes,Euarchontoglires,48,96.125001,0.0533614712,0.0177,0.3317,0.0533614712,0.0177,0.3317,0.0508280982,0.0178,0.3502,,,
XP+AF8-002718,Oryctolagus cuniculus,Euarchontoglires,2,97.125,0.0316405211,0.0119,0.3761,0.0316405211,0.0119,0.3761,0.0541857798,0.0189,0.3488,,,
XP+AF8-021796,Papio anubis,Euarchontoglires,19.5,96.749997,0.0653632915,0.0224,0.3427,0.0653632915,0.0224,0.3427,0.0519988817,0.0186,0.3577,,,
XP+AF8-002753,Callithrix jacchus,Euarchontoglires,0.33,97.624999,0.0363739699,0.0128,0.3519,0.0363739699,0.0128,0.3519,0.0388903293,0.015,0.3857,,,
XP+AF8-012322,Aotus nancymaae,Euarchontoglires,0.75,97.750002,0.0360255665,0.0124,0.3442,0.0360255665,0.0124,0.3442,0.0394550099,0.0139,0.3523,,,
XP+AF8-011943,Cercocebus atys,Euarchontoglires,9.5,96.749997,0.0458851391,0.0155,0.3378,0.0458851391,0.0155,0.3378,0.0402703464,0.0143,0.3551,,,
XP+AF8-005560,Macaca fascicularis,Euarchontoglires,6.55,96.749997,0.0463636364,0.0153,0.33,0.0463636364,0.0153,0.33,0.0404823428,0.0141,0.3483,,,
XP+AF8-011770,Macaca nemestrina,Euarchontoglires,6.55,96.749997,0.0461445052,0.0152,0.3294,0.0461445052,0.0152,0.3294,0.0642513445,0.0227,0.3533,,,
XP+AF8-011786,Colobus angolensis palliatus,Euarchontoglires,8.9,96.875,0.0456553756,0.0155,0.3395,0.0456553756,0.0155,0.3395,0.0320409262,0.0119,0.3714,,,
XP+AF8-005343,Ictidomys tridecemlineatus,Euarchontoglires,0.125,98.000002,0.0438463865,0.0145,0.3307,0.0438463865,0.0145,0.3307,0.0325930199,0.0113,0.3467,,,
XP+AF8-015348,Marmota marmota marmota,Euarchontoglires,3.5,97.624999,0.0372781065,0.0126,0.338,0.0372781065,0.0126,0.338,0.0444444444,0.0154,0.3465,,,
XP+AF8-026261,Urocitellus parryii,Euarchontoglires,0.791,98.000002,0.037452079,0.0127,0.3391,0.037452079,0.0127,0.3391,0.0412311266,0.0142,0.3444,,,
XP+AF8-020037,Castor canadensis,Euarchontoglires,22.5,97.500002,0.0396098138,0.0134,0.3383,0.0396098138,0.0134,0.3383,0.0393242062,0.0135,0.3433,,,
XP+AF8-005882,Myotis brandtii,Laurasiatheria,0.0069,97.250003,0.050983652,0.0184,0.3609,,,,,,,,,
XP+AF8-006100,Myotis lucifugus,Laurasiatheria,0.008,97.375,0.0510467451,0.0178,0.3487,,,,,,,,,
XP+AF8-023989,Physeter catodon,Laurasiatheria,42500,93.624997,0.0763468741,0.0265,0.3471,,,,,,,,,
XP+AF8-024411,Desmodus rotundus,Laurasiatheria,0.033,98.000002,0.0379746835,0.0147,0.3871,,,,,,,,,
NP+AF8-001075,Equus caballus,Laurasiatheria,563.5,94.749999,0.0617944147,0.0208,0.3366,,,,,,,,,
XP+AF8-021550,Neomonachus schauinslandi,Laurasiatheria,220,96.996248,0.0702360391,0.0244,0.3474,,,,,,,,,
XP+AF8-006172,Camelus ferus,Laurasiatheria,800,94.999999,0.0636177074,0.0217,0.3411,,,,,,,,,
XP+AF8-010953,Camelus bactrianus,Laurasiatheria,475,94.999999,0.0626647145,0.0214,0.3415,,,,,,,,,
XP+AF8-007180,Balaenoptera acutorostrata scammoni,Laurasiatheria,9200,93.617022,0.0676411579,0.0236,0.3489,,,,,,,,,
XP+AF8-024608,Neophocaena asiaeorientalis asiaeorientalis,Laurasiatheria,32,94.125003,0.0667043527,0.0236,0.3538,,,,,,,,,
XP+AF8-007449,Lipotes vexillifer,Laurasiatheria,104.5,95.375001,0.056741573,0.0202,0.356,,,,,,,,,
XP+AF8-005909,Bos mutus,Laurasiatheria,562.5,95.363408,0.0719934551,0.0264,0.3667,,,,,,,,,
XP+AF8-006080,Bubalus bubalis,Laurasiatheria,725,95.625001,0.0782241015,0.0296,0.3784,,,,,,,,,
NP+AF8-999020,Sus scrofa,Laurasiatheria,169,96.125001,0.044312348,0.0164,0.3701,,,,,,,,,
XP+AF8-005978,Pantholops hodgsonii,Laurasiatheria,33,95.499998,0.0547534732,0.0201,0.3671,,,,,,,,,
NP+AF8-777152,Bos taurus,Laurasiatheria,755,95.499998,0.056385678,0.02,0.3547,,,,,,,,,
XP+AF8-010829,Bison bison bison,Laurasiatheria,600,95.499998,0.0548712206,0.0196,0.3572,,,,,,,,,
XP+AF8-020765,Odocoileus virginianus texanus,Laurasiatheria,47.6,96.125001,0.0508280982,0.0178,0.3502,,,,,,,,,
XP+AF8-004010,Ovis aries,Laurasiatheria,110,95.749998,0.0541857798,0.0189,0.3488,,,,,,,,,
XP+AF8-017910,Capra hircus,Laurasiatheria,45,95.749998,0.0519988817,0.0186,0.3577,,,,,,,,,
XP+AF8-019518,Hipposideros armiger,Laurasiatheria,0.009,97.500002,0.0388903293,0.015,0.3857,,,,,,,,,
XP+AF8-015976,Rousettus aegyptiacus,Laurasiatheria,0.125,97.874999,0.0394550099,0.0139,0.3523,,,,,,,,,
XP+AF8-011371,Pteropus vampyrus,Laurasiatheria,0.85,97.624999,0.0402703464,0.0143,0.3551,,,,,,,,,
XP+AF8-024903,Pteropus alecto,Laurasiatheria,0.74,97.500002,0.0404823428,0.0141,0.3483,,,,,,,,,
XP+AF8-007098,Panthera tigris altaica,Laurasiatheria,176.4,97.375,0.0642513445,0.0227,0.3533,,,,,,,,,
XP+AF8-022376,Enhydra lutris kenyoni,Laurasiatheria,45,98.124999,0.0320409262,0.0119,0.3714,,,,,,,,,
NP+AF8-001107,Canis lupus familiaris,Laurasiatheria,35.5,97.874999,0.0325930199,0.0113,0.3467,,,,,,,,,
XP+AF8-025775,Puma concolor,Laurasiatheria,76.5,96.875,0.0444444444,0.0154,0.3465,,,,,,,,,
XP+AF8-014932,Acinonyx jubatus,Laurasiatheria,51,97.246557,0.0412311266,0.0142,0.3444,,,,,,,,,
XP+AF8-019284,Panthera pardus,Laurasiatheria,41,97.125,0.0393242062,0.0135,0.3433,,,,,,,,,
XP+AF8-020821,Phascolarctos cinereus,Metathera,15,96.625,0.0409887359,0.0262,0.6392,,,,,,,,,
XP+AF8-001369,Monodelphis domestica,Metatheria,0.048,98.874998,0.033045977,0.023,0.696,,,,,,,,,
XP+AF8-003755,Sarcophilus harrisii,Metatheria,8,98.000002,0.0429457611,0.027,0.6287,,,,,,,,,
XP+AF8-023439,Dasypus novemcinctus,Metatheria,5.5,96.875,0.0390726752,0.015,0.3839,,,,,,,,,
XP+AF8-007989071.1,Chlorocebus+AF8-sabaeus,Euarchontoglires,5,,0.0487506124,0.0199,0.4082,0.0487506124,0.0199,0.4082,,,,,,
